date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:01:38	522/522	---M-Z	200	added ('OK')	text/plain	etag:%22a00-5a7d9a108bec0-gzip%22	https://www.sitepoint.com/robots.txt		(from )
10:01:38	96385/96385	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2004:31:38%20GMT	https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/index.html	(from )
10:01:40	55/55	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2012%20Jun%202020%2004:31:39%20GMT	https://www.sitepoint.com/ads.js?article=	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/adsba4b.js	(from https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/)
10:01:40	261346/261346	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2028%20May%202020%2022:22:18%20GMT	https://quantcast.mgr.consensu.org/cmp.js	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/quantcast.mgr.consensu.org/cmp.js	(from https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/)
10:01:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2012%20Jun%202020%2004:31:40%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.googletagmanager.com/gtm.25445.delayed	(from https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/)
10:01:42	2131/2131	---M--	200	added ('OK')	image/png	etag:%22853-5a70fa24f3040%22	https://www.sitepoint.com/icons/icon-48x48.png?v=5ffb031539806d560ce4a4510a588e7d	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/icons/icon-48x481fc4.png	(from https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/)
10:01:43	3241/3241	---M--	200	added ('OK')	image/png	etag:%22ca9-5a70fa24f3040%22	https://www.sitepoint.com/icons/icon-72x72.png?v=5ffb031539806d560ce4a4510a588e7d	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/icons/icon-72x721fc4.png	(from https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/)
10:01:45	4537/4537	---M--	200	added ('OK')	image/png	etag:%2211b9-5a70fa24f3040%22	https://www.sitepoint.com/icons/icon-96x96.png?v=5ffb031539806d560ce4a4510a588e7d	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/icons/icon-96x961fc4.png	(from https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/)
10:01:47	7375/7375	---M--	200	added ('OK')	image/png	etag:%221ccf-5a70fa24f3040%22	https://www.sitepoint.com/icons/icon-144x144.png?v=5ffb031539806d560ce4a4510a588e7d	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/icons/icon-144x1441fc4.png	(from https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/)
10:01:48	10615/10615	---M--	200	added ('OK')	image/png	etag:%222977-5a70fa24f3040%22	https://www.sitepoint.com/icons/icon-192x192.png?v=5ffb031539806d560ce4a4510a588e7d	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/icons/icon-192x1921fc4.png	(from https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/)
10:01:50	15243/15243	---M--	200	added ('OK')	image/png	etag:%223b8b-5a70fa24f3040%22	https://www.sitepoint.com/icons/icon-256x256.png?v=5ffb031539806d560ce4a4510a588e7d	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/icons/icon-256x2561fc4.png	(from https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/)
10:01:51	27754/27754	---M--	200	added ('OK')	image/png	etag:%226c6a-5a70fa24f3040%22	https://www.sitepoint.com/icons/icon-384x384.png?v=5ffb031539806d560ce4a4510a588e7d	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/icons/icon-384x3841fc4.png	(from https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/)
10:01:52	25290/25290	---M--	200	added ('OK')	image/png	etag:%2262ca-5a70fa24f3040%22	https://www.sitepoint.com/icons/icon-512x512.png?v=5ffb031539806d560ce4a4510a588e7d	C:/Users/Bharath/OneDrive/Desktop/leo%20blog/www.sitepoint.com/icons/icon-512x5121fc4.png	(from https://www.sitepoint.com/how-i-became-a-web-designer-and-why-im-successful-now/)
